Date,Open,High,Low,Close,Adj Close,Volume
2000-11-01,3000.000000,3270.000000,2960.000000,3260.000000,2408.761475,94165000
2000-11-02,3200.000000,3430.000000,3170.000000,3320.000000,2453.094727,123180000
2000-11-03,3420.000000,3470.000000,3370.000000,3440.000000,2541.760742,80420000
2000-11-06,3460.000000,3670.000000,3380.000000,3510.000000,2593.482666,71865000
2000-11-07,3460.000000,3550.000000,3380.000000,3440.000000,2541.760742,53740000
2000-11-08,3400.000000,3460.000000,3280.000000,3410.000000,2519.594727,58215000
2000-11-09,3300.000000,3430.000000,3260.000000,3400.000000,2512.205811,52305000
2000-11-10,3360.000000,3440.000000,3320.000000,3380.000000,2497.427246,35140000
2000-11-13,3220.000000,3260.000000,3100.000000,3150.000000,2327.484131,51070000
2000-11-14,3210.000000,3320.000000,3210.000000,3290.000000,2430.928223,31755000
2000-11-15,3450.000000,3460.000000,3320.000000,3390.000000,2504.816650,55720000
2000-11-16,3400.000000,3420.000000,3250.000000,3280.000000,2423.539307,37420000
2000-11-17,3180.000000,3230.000000,3150.000000,3220.000000,2379.206299,36225000
2000-11-20,3160.000000,3210.000000,3100.000000,3100.000000,2290.540527,26795000
2000-11-21,3080.000000,3170.000000,2970.000000,3160.000000,2334.873291,51620000
2000-11-22,3100.000000,3220.000000,3080.000000,3140.000000,2320.095947,37710000
2000-11-23,3140.000000,3260.000000,3140.000000,3210.000000,2371.817871,44645000
2000-11-24,3310.000000,3400.000000,3270.000000,3400.000000,2512.205811,45530000
2000-11-27,3600.000000,3800.000000,3570.000000,3780.000000,2792.980469,100220000
2000-11-28,3650.000000,3650.000000,3500.000000,3520.000000,2600.870850,59770000
2000-11-29,3300.000000,3350.000000,3200.000000,3220.000000,2379.206299,54300000
2000-11-30,3220.000000,3290.000000,3150.000000,3240.000000,2393.984131,63315000
2000-12-01,3080.000000,3220.000000,3040.000000,3180.000000,2349.650391,96425000
2000-12-04,3220.000000,3250.000000,3080.000000,3100.000000,2290.540527,51875000
2000-12-05,3160.000000,3250.000000,3120.000000,3240.000000,2393.984131,58400000
2000-12-06,3410.000000,3430.000000,3210.000000,3210.000000,2371.817871,95890000
2000-12-07,3210.000000,3260.000000,3160.000000,3260.000000,2408.761475,43020000
2000-12-08,3260.000000,3390.000000,3260.000000,3370.000000,2490.039551,47575000
2000-12-11,3480.000000,3630.000000,3480.000000,3580.000000,2645.204590,70575000
2000-12-12,3580.000000,3650.000000,3500.000000,3500.000000,2586.094482,73745000
2000-12-13,3500.000000,3780.000000,3500.000000,3780.000000,2792.980469,84140000
2000-12-14,3620.000000,3680.000000,3560.000000,3620.000000,2674.759766,66965000
2000-12-15,3620.000000,3640.000000,3480.000000,3490.000000,2578.705322,52960000
2000-12-18,3500.000000,3590.000000,3490.000000,3560.000000,2630.426270,34350000
2000-12-19,3560.000000,3570.000000,3510.000000,3530.000000,2608.259766,25445000
2000-12-20,3420.000000,3450.000000,3320.000000,3340.000000,2467.872070,53675000
2000-12-21,3120.000000,3300.000000,3070.000000,3240.000000,2393.984131,76625000
2000-12-22,3240.000000,3300.000000,3130.000000,3140.000000,2320.095947,63760000
2000-12-25,3140.000000,3140.000000,3140.000000,3140.000000,2320.095947,0
2000-12-26,3230.000000,3240.000000,3160.000000,3160.000000,2334.873291,60430000
2000-12-27,3160.000000,3160.000000,3160.000000,3160.000000,2334.873291,0
2000-12-28,3160.000000,3160.000000,3160.000000,3160.000000,2334.873291,0
2000-12-29,3160.000000,3160.000000,3160.000000,3160.000000,2334.873291,0
2001-01-01,3160.000000,3160.000000,3160.000000,3160.000000,2334.873291,0
2001-01-02,3160.000000,3380.000000,3140.000000,3350.000000,2475.261963,39455000
2001-01-03,3230.000000,3420.000000,3220.000000,3370.000000,2490.039551,37855000
2001-01-04,3790.000000,3870.000000,3660.000000,3780.000000,2792.980469,119910000
2001-01-05,3760.000000,3920.000000,3700.000000,3900.000000,2881.647461,78135000
2001-01-08,3820.000000,3910.000000,3780.000000,3880.000000,2866.869873,42295000
2001-01-09,3830.000000,3860.000000,3710.000000,3840.000000,2837.313721,46280000
2001-01-10,3780.000000,3810.000000,3700.000000,3710.000000,2741.260254,41235000
2001-01-11,3790.000000,3790.000000,3640.000000,3640.000000,2689.537109,31410000
2001-01-12,3800.000000,3890.000000,3770.000000,3840.000000,2837.313721,52900000
2001-01-15,3860.000000,4020.000000,3840.000000,3920.000000,2896.425049,51460000
2001-01-16,3960.000000,4200.000000,3850.000000,4140.000000,3058.979736,52065000
2001-01-17,4060.000000,4240.000000,4060.000000,4220.000000,3118.090332,52570000
2001-01-18,4240.000000,4530.000000,4240.000000,4400.000000,3251.090088,57685000
2001-01-19,4700.000000,4700.000000,4520.000000,4600.000000,3398.865723,54245000
2001-01-22,4600.000000,4600.000000,4470.000000,4550.000000,3361.922119,42250000
2001-01-23,4550.000000,4550.000000,4550.000000,4550.000000,3361.922119,0
2001-01-24,4550.000000,4550.000000,4550.000000,4550.000000,3361.922119,0
2001-01-25,4550.000000,4550.000000,4550.000000,4550.000000,3361.922119,0
2001-01-26,4450.000000,4480.000000,3970.000000,3980.000000,2940.758789,91025000
2001-01-29,4000.000000,4100.000000,3960.000000,4020.000000,2970.312988,47245000
2001-01-30,4100.000000,4170.000000,4070.000000,4110.000000,3036.812988,39350000
2001-01-31,4090.000000,4400.000000,4090.000000,4400.000000,3251.090088,53045000
2001-02-01,4270.000000,4420.000000,4190.000000,4270.000000,3155.034424,39730000
2001-02-02,4290.000000,4390.000000,4220.000000,4290.000000,3169.812988,27330000
2001-02-05,4170.000000,4200.000000,3990.000000,4030.000000,2977.702148,47135000
2001-02-06,3980.000000,4020.000000,3910.000000,4010.000000,2962.925293,31545000
2001-02-07,3960.000000,3990.000000,3900.000000,3900.000000,2881.647461,23130000
2001-02-08,3920.000000,4060.000000,3890.000000,4060.000000,2999.869141,34685000
2001-02-09,4040.000000,4100.000000,3980.000000,4070.000000,3007.258057,25230000
2001-02-12,3840.000000,4050.000000,3840.000000,3970.000000,2933.369629,36110000
2001-02-13,4040.000000,4100.000000,3970.000000,3980.000000,2940.758789,22295000
